"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1901,14.2208620689655,17.6584482758621,23.6940344827586,29.8352413793103,33.3329310344828,35.7558275862069,31.6531724137931,29.3493103448276,28.8045517241379,27.3488620689655,21.3346896551724,16.5860689655172
"2",1902,17.0409655172414,19.1172068965517,26.0900689655172,30.170275862069,33.859275862069,34.4751724137931,30.2249655172414,29.6796896551724,28.8248965517241,25.8894827586207,20.4476551724138,15.7330689655172
"3",1903,15.989275862069,17.4887931034483,23.3711034482759,29.8158275862069,33.8115172413793,34.6660689655172,31.9038275862069,29.4264827586207,29.461724137931,26.0651724137931,20.3071379310345,15.8597931034483
"4",1904,16.1279655172414,18.6185517241379,24.2006206896552,31.058275862069,32.7024482758621,33.1629310344828,29.395,28.6532413793103,28.6705517241379,26.2296896551724,19.9799310344828,16.5734827586207
"5",1905,14.3019310344828,14.2200344827586,21.4936896551724,27.1653793103448,33.0513448275862,35.6946206896552,30.4530689655172,28.9446896551724,29.0943103448276,26.3021379310345,21.2844827586207,16.1846896551724
"6",1906,15.2401379310345,17.1402068965517,22.672275862069,30.326,34.9088620689655,33.6800344827586,30.4457586206897,28.9474827586207,29.0484827586207,26.465275862069,21.7121034482759,17.1082413793103
"7",1907,17.3916551724138,17.1662068965517,21.5119310344828,27.7815862068966,32.2087586206897,33.8773448275862,32.1905862068966,29.3003103448276,29.8180344827586,27.3952068965517,21.1793103448276,15.7226206896552
"8",1908,14.8268275862069,18.5336206896552,24.1080689655172,32.1042413793103,34.2416896551724,35.0652068965517,30.2551724137931,29.252724137931,29.4477586206897,26.4125862068966,20.4188275862069,15.7288620689655
"9",1909,17.2333448275862,17.2513793103448,25.0368620689655,28.257,33.6300689655172,31.3043103448276,29.676724137931,29.1074827586207,29.1718620689655,26.6149655172414,21.269,16.6103448275862
"10",1910,15.4106206896552,18.2885862068966,24.5336206896552,30.1863793103448,33.4860344827586,32.6152068965517,30.2255862068966,29.185724137931,29.1845517241379,25.8368275862069,20.0425862068965,15.7072068965517
