"","YEAR","Jan","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"1",1951,10.6634137931034,11.4003793103448,10.7408620689655,11.2284827586207,17.1488620689655,27.2973793103448,33.5636896551724,32.3536896551724,29.870724137931,21.4308620689655,14.1210689655172,12.8130344827586
"2",1952,12.0083793103448,12.2976551724138,10.6425172413793,12.5316551724138,18.1226551724138,27.1858275862069,32.8971379310345,32.3062068965517,30.0741724137931,19.9811034482759,13.5009655172414,12.7933103448276
"3",1953,10.6783103448276,12.704,12.8951724137931,12.213,18.3547931034483,28.7724482758621,32.8666206896552,32.339724137931,29.8444137931034,19.982275862069,13.2774482758621,13.4732068965517
"4",1954,10.7443448275862,12.2282413793103,11.0358620689655,12.8836206896552,19.024,27.5115172413793,32.7651034482759,32.3564482758621,29.8808275862069,18.7347586206897,13.2798620689655,12.7813448275862
"5",1955,10.8550689655172,11.563275862069,11.5208275862069,11.3264482758621,17.0595172413793,28.4369310344828,32.8788965517241,32.3085517241379,29.8612068965517,19.8851379310345,13.4608275862069,12.7606551724138
"6",1956,11.2497586206897,11.4467931034483,10.6077931034483,12.6405172413793,18.1086551724138,26.316724137931,31.4913793103448,32.3196206896552,29.7543448275862,19.6565172413793,13.4193793103448,12.7845517241379
"7",1957,11.4056206896552,11.1135862068966,9.94462068965517,11.2648275862069,17.1915862068965,27.9329310344828,32.8336896551724,32.5394137931035,29.8216206896552,19.9504137931034,14.1896896551724,12.9178275862069
"8",1958,12.2228275862069,11.9294137931034,11.0830344827586,12.9242413793103,18.0952413793103,30.2683448275862,32.9439655172414,32.4540689655173,29.833,20.0138620689655,13.8748275862069,12.874724137931
"9",1959,11.2644827586207,11.4345517241379,11.2554827586207,11.9874482758621,17.3148620689655,27.4661724137931,32.7177586206897,32.3367931034483,29.7316896551724,20.104275862069,14.0186896551724,12.8988275862069
"10",1960,10.9836896551724,12.6823448275862,10.6663448275862,11.989275862069,17.3046896551724,28.8980689655172,32.8195862068965,32.3994827586207,29.9142068965517,20.0022413793103,13.2509655172414,12.8500689655172
"11",1961,11.2583448275862,10.6213793103448,11.4980689655172,12.1081034482759,17.1510344827586,27.2982068965517,33.0236551724138,32.3510344827586,29.7708620689655,20.4353793103448,13.6022413793103,11.4636206896552
"12",1962,10.7643793103448,11.6836206896552,10.6735517241379,11.995724137931,17.1456896551724,30.1042068965517,34.6196551724138,32.3542068965517,29.7898965517241,19.0018275862069,13.9560689655172,12.8655172413793
"13",1963,10.6449655172414,11.6838965517241,10.4602413793103,11.7848620689655,16.9773448275862,27.2864482758621,33.3091724137931,32.3977586206897,30.6015517241379,20.0139310344828,14.7501379310345,12.8139655172414
"14",1964,11.1424137931034,11.5971034482759,11.5475517241379,12.5745172413793,16.3998965517241,27.8379310344828,31.716275862069,32.3665172413793,29.8915517241379,20.2483793103448,13.3547931034483,12.8356551724138
"15",1965,12.0429655172414,11.7231034482759,10.6165517241379,11.3630344827586,17.1983448275862,30.5846551724138,32.9418275862069,32.9532413793103,29.8685862068965,20.0115862068966,14.0212068965517,12.1016896551724
"16",1966,10.8754137931034,12.8294827586207,10.8653793103448,12.5901724137931,18.1535517241379,27.1154137931034,34.5634827586207,32.357,29.9063103448276,20.1542068965517,14.2559655172414,12.7886896551724
"17",1967,11.2246206896552,12.2254827586207,10.0675172413793,11.9335862068966,17.155275862069,28.2478620689655,32.7114137931035,32.166,29.6318620689655,19.9299655172414,13.5097586206897,12.9027586206897
"18",1968,10.7784137931034,10.7413448275862,10.4987931034483,11.8290689655172,17.2196896551724,27.9398965517241,32.281275862069,32.3562413793103,30.3359310344828,20.0747586206897,13.7578620689655,12.7951724137931
"19",1969,11.2000344827586,12.2230344827586,12.2004827586207,12.1261379310345,16.8888620689655,28.6968275862069,32.5758965517241,32.3551724137931,29.8861034482759,20.0801379310345,14.8409655172414,12.3508620689655
"20",1970,11.2605172413793,11.1464827586207,10.5477931034483,12.7026551724138,16.9776896551724,25.9070689655172,32.5266206896552,32.3400689655172,29.8131034482759,19.9575172413793,13.4183103448276,12.6415862068966
"21",1971,11.2578620689655,11.4266206896552,10.464724137931,11.3220344827586,15.4512068965517,25.0376206896552,30.9924827586207,30.6385172413793,29.7555862068966,19.980275862069,13.9180344827586,12.8361379310345
"22",1972,11.2195862068966,10.6784137931034,10.0475517241379,11.9088620689655,16.9300689655172,27.6181724137931,33.806275862069,32.0689310344828,28.7165517241379,18.9364827586207,13.8931724137931,12.8899310344828
"23",1973,11.628,11.2274827586207,10.4245517241379,12.5374482758621,17.3673793103448,27.0171034482759,32.0112413793103,32.3444827586207,29.7777586206897,19.8910689655172,13.3731379310345,12.0476896551724
"24",1974,11.0971034482759,11.0177586206897,11.4583103448276,12.9316206896552,16.9194827586207,26.8266896551724,32.3087931034483,30.0134137931035,29.7017931034483,21.0808620689655,13.5450344827586,12.0014482758621
"25",1975,10.588724137931,11.6103448275862,10.5921034482759,12.7272413793103,18.1169310344828,26.5495862068966,31.7705862068965,32.2071379310345,29.7940344827586,20.854724137931,13.2823103448276,12.5283448275862
"26",1976,11.7124482758621,11.4472068965517,10.6547931034483,11.4349310344828,16.7154137931034,26.5205172413793,32.5264827586207,30.6599655172414,29.6768620689655,19.9302068965517,15.2571034482759,12.8179655172414
"27",1977,11.5450344827586,11.1281724137931,11.1746896551724,11.5207931034483,15.3616896551724,27.6428620689655,33.2955517241379,32.3494827586207,29.7643793103448,20.0635172413793,15.1052068965517,12.8349310344828
"28",1978,11.1070344827586,10.847724137931,9.42089655172414,11.4703793103448,18.3833793103448,27.3971034482759,32.8033793103448,32.3688965517241,29.5358275862069,20.069,14.618724137931,13.1538275862069
"29",1979,11.9220344827586,10.640724137931,10.3606206896552,11.9279310344828,16.910724137931,27.7373448275862,32.6947586206897,32.3180689655172,29.9928965517241,21.239275862069,16.4136896551724,13.4795517241379
"30",1980,11.2971724137931,12.0000689655172,10.6161724137931,12.8088620689655,17.8715517241379,25.397,30.1513793103448,32.3320344827586,29.6209310344828,20.7353793103448,14.0186896551724,12.8160344827586
"31",1981,11.2836551724138,11.808275862069,10.572275862069,11.9519310344828,16.7068965517241,27.3074137931034,31.3723793103448,32.3642413793104,29.827724137931,19.6035172413793,13.3673103448276,12.8372068965517
"32",1982,11.6998275862069,10.7745517241379,9.40548275862069,11.3128965517241,16.1947586206897,26.4455172413793,35.0186551724138,32.3224137931035,30.0284482758621,20.0315862068965,14.0195517241379,13.1471034482759
"33",1983,10.8818620689655,11.0246551724138,10.6282413793103,11.1648275862069,16.2065862068966,28.0985517241379,32.182275862069,32.2618275862069,29.8416206896552,20.0234827586207,13.5133103448276,12.7958275862069
